cycle,leakage,v_g,oscillation_count,edits_last_1k,false_surgery_rate,memory_mb,runtime_ms
1000,0.5,0.25125,0,0,0.0,446.0703125,0.16976380348205566
2000,1.0,0.23249999999999998,0,0,0.0,446.0703125,0.13237524032592773
3000,0.75,0.24,0,0,0.0,446.0703125,0.13361477851867676
4000,1.0,0.23249999999999998,0,0,0.0,446.0703125,0.1337757110595703
5000,0.5,0.24,0,0,0.0,446.0703125,0.1331787109375
6000,1.0,0.24375,0,0,0.0,446.0703125,0.13268041610717773
7000,1.0,0.25125,0,0,0.0,446.0703125,0.1340925693511963
8000,1.0,0.23249999999999998,0,0,0.0,446.0703125,0.13243389129638672
9000,1.0,0.24,0,0,0.0,446.07421875,0.13559675216674805
10000,1.0,0.23625,0,0,0.0,446.07421875,0.13659429550170898
11000,1.0,0.24375,0,0,0.0,446.421875,0.14413881301879883
12000,0.75,0.23625,0,0,0.0,446.421875,0.13741445541381836
13000,0.75,0.23625,0,0,0.0,446.421875,0.13199615478515625
14000,0.75,0.24375,0,0,0.0,446.421875,0.13432836532592773
15000,1.0,0.24,0,0,0.0,446.421875,0.1302635669708252
16000,0.5,0.22125,0,0,0.0,446.42578125,0.1396327018737793
17000,1.0,0.22125,0,0,0.0,446.4296875,0.13368558883666992
18000,1.0,0.26625,0,0,0.0,446.4296875,0.1361091136932373
19000,1.0,0.24375,0,0,0.0,446.4296875,0.13317108154296875
20000,1.0,0.24375,0,0,0.0,446.4296875,0.14052796363830566
21000,0.75,0.23625,0,0,0.0,446.4375,0.15248870849609375
22000,1.0,0.255,0,0,0.0,446.4375,0.13788628578186035
23000,0.75,0.22874999999999998,0,0,0.0,446.4375,0.13683247566223145
24000,0.75,0.24375,0,0,0.0,446.4375,0.13433027267456055
25000,0.75,0.255,0,0,0.0,446.4375,0.1345970630645752
26000,1.0,0.25125,0,0,0.0,446.4375,0.13291716575622559
27000,0.75,0.22499999999999998,0,0,0.0,446.4375,0.13786935806274414
28000,0.5,0.24749999999999997,0,0,0.0,446.4375,0.13509774208068848
29000,0.75,0.22874999999999998,0,0,0.0,446.4375,0.1349191665649414
30000,0.75,0.23625,0,0,0.0,446.4375,0.1309967041015625
31000,1.0,0.25875,0,0,0.0,446.4609375,0.14762234687805176
32000,0.5,0.24,0,0,0.0,446.4609375,0.13430142402648926
33000,1.0,0.2625,0,0,0.0,446.4609375,0.13660120964050293
34000,1.0,0.24375,0,0,0.0,446.4609375,0.1315319538116455
35000,0.75,0.21375,0,0,0.0,446.46484375,0.13681316375732422
36000,1.0,0.22874999999999998,0,0,0.0,446.46875,0.13680267333984375
37000,1.0,0.23249999999999998,0,0,0.0,446.46875,0.13733196258544922
38000,0.75,0.25875,0,0,0.0,446.46875,0.1376502513885498
39000,1.0,0.23249999999999998,0,0,0.0,446.46875,0.1357133388519287
40000,0.5,0.21,0,0,0.0,446.46875,0.13822102546691895
41000,1.0,0.24749999999999997,0,0,0.0,446.484375,0.14482331275939941
42000,1.0,0.25125,0,0,0.0,446.484375,0.13150787353515625
43000,0.75,0.24,0,0,0.0,446.484375,0.1422102451324463
44000,0.5,0.2175,0,0,0.0,446.484375,0.1363081932067871
45000,1.0,0.24749999999999997,0,0,0.0,446.484375,0.1385645866394043
46000,0.75,0.25125,0,0,0.0,446.484375,0.13277721405029297
47000,0.75,0.24,0,0,0.0,446.484375,0.13544487953186035
48000,1.0,0.24749999999999997,0,0,0.0,446.484375,0.1397860050201416
49000,1.0,0.23625,0,0,0.0,446.484375,0.14116597175598145
50000,0.75,0.24749999999999997,0,0,0.0,446.484375,0.1378021240234375
51000,0.75,0.24749999999999997,0,0,0.0,446.5,0.14615559577941895
52000,0.75,0.23625,0,0,0.0,446.5,0.13595890998840332
53000,0.75,0.22125,0,0,0.0,446.50390625,0.13728046417236328
54000,0.75,0.22125,0,0,0.0,446.50390625,0.13614201545715332
55000,1.0,0.25875,0,0,0.0,446.5078125,0.13616561889648438
56000,1.0,0.23249999999999998,0,0,0.0,446.5078125,0.15440726280212402
57000,1.0,0.22125,0,0,0.0,446.5078125,0.13289999961853027
58000,1.0,0.25875,0,0,0.0,446.5078125,0.13695788383483887
59000,0.5,0.24,0,0,0.0,446.5078125,0.13779473304748535
60000,1.0,0.24,0,0,0.0,446.5078125,0.1416008472442627
61000,1.0,0.23625,0,0,0.0,446.5234375,0.14626193046569824
62000,1.0,0.22874999999999998,0,0,0.0,446.5234375,0.1398935317993164
63000,1.0,0.24749999999999997,0,0,0.0,446.5234375,0.1394202709197998
64000,0.5,0.24,0,0,0.0,446.5234375,0.141007661819458
65000,0.75,0.23625,0,0,0.0,446.5234375,0.1344127655029297
66000,0.75,0.25875,0,0,0.0,446.5234375,0.13476347923278809
67000,0.75,0.23625,0,0,0.0,446.5234375,0.13776350021362305
68000,1.0,0.23249999999999998,0,0,0.0,446.5234375,0.13663744926452637
69000,0.75,0.23249999999999998,0,0,0.0,446.5234375,0.14044618606567383
70000,0.75,0.25875,0,0,0.0,446.5234375,0.13638591766357422
71000,0.5,0.22874999999999998,0,0,0.0,446.640625,0.14539361000061035
72000,0.75,0.23625,0,0,0.0,446.64453125,0.13794422149658203
73000,1.0,0.25875,0,0,0.0,446.64453125,0.13079404830932617
74000,0.5,0.22499999999999998,0,0,0.0,446.64453125,0.14397096633911133
75000,1.0,0.22125,0,0,0.0,446.6484375,0.14043903350830078
76000,0.75,0.2025,0,0,0.0,446.6484375,0.13498663902282715
77000,0.75,0.19124999999999998,0,0,0.0,446.6484375,0.13513541221618652
78000,0.75,0.19874999999999998,0,0,0.0,446.6484375,0.14235711097717285
79000,0.75,0.22499999999999998,0,0,0.0,446.6484375,0.13799333572387695
80000,0.5,0.21375,0,0,0.0,446.6484375,0.138962984085083
81000,0.75,0.21,0,0,0.0,446.66015625,0.14555859565734863
82000,1.0,0.2175,0,0,0.0,446.66015625,0.13965845108032227
83000,0.25,0.18,0,0,0.0,446.66015625,0.13837361335754395
84000,0.75,0.2175,0,0,0.0,446.66015625,0.13503813743591309
85000,0.75,0.2025,0,0,0.0,446.66015625,0.13668513298034668
86000,0.75,0.1875,0,0,0.0,446.66015625,0.13762760162353516
87000,0.5,0.1875,0,0,0.0,446.66015625,0.13483691215515137
88000,1.0,0.22125,0,0,0.0,446.66015625,0.13259553909301758
89000,1.0,0.25125,0,0,0.0,446.66015625,0.13747572898864746
90000,0.75,0.24,0,0,0.0,446.66015625,0.13972234725952148
91000,1.0,0.24,0,0,0.0,446.68359375,0.14567780494689941
92000,1.0,0.26625,0,0,0.0,446.68359375,0.1341719627380371
93000,1.0,0.24,0,0,0.0,446.68359375,0.13837718963623047
94000,0.5,0.2175,0,0,0.0,446.6875,0.1362466812133789
95000,1.0,0.22125,0,0,0.0,446.6875,0.13915038108825684
96000,1.0,0.24749999999999997,0,0,0.0,446.6875,0.15213632583618164
97000,0.75,0.2175,0,0,0.0,446.6875,0.14023995399475098
98000,1.0,0.24749999999999997,0,0,0.0,446.6875,0.1357135772705078
99000,1.0,0.22874999999999998,0,0,0.0,446.6875,0.15007233619689941
100000,0.75,0.22499999999999998,0,0,0.0,446.6875,0.13675665855407715
