Engine,Method,SHD,Detection_Delay,Runtime_ms
81,CausalNerve,0.0,237.0,87.70084381103516
81,PCMCI,98.0,,4869.97652053833
81,DYNOTEARS,,,
81,VAR-LiNGAM,20.0,,0.0
81,Granger,145.0,,804.8744201660156
82,CausalNerve,0.0,211.0,75.12593269348145
82,PCMCI,98.0,,3847.825050354004
82,DYNOTEARS,,,
82,VAR-LiNGAM,20.0,,0.5359649658203125
82,Granger,160.0,,802.2010326385498
83,CausalNerve,0.0,290.0,103.79171371459961
83,PCMCI,117.0,,5579.998731613159
83,DYNOTEARS,,,
83,VAR-LiNGAM,20.0,,0.0
83,Granger,173.0,,832.9744338989258
84,CausalNerve,0.0,264.0,88.50550651550293
84,PCMCI,97.0,,5115.307092666626
84,DYNOTEARS,,,
84,VAR-LiNGAM,20.0,,2.0160675048828125
84,Granger,168.0,,732.3505878448486
85,CausalNerve,0.0,185.0,68.62831115722656
85,PCMCI,106.0,,4320.575714111328
85,DYNOTEARS,,,
85,VAR-LiNGAM,20.0,,0.0
85,Granger,149.0,,793.4424877166748
86,CausalNerve,0.0,275.0,99.9302864074707
86,PCMCI,103.0,,5530.383586883545
86,DYNOTEARS,,,
86,VAR-LiNGAM,20.0,,0.0
86,Granger,174.0,,753.8301944732666
87,CausalNerve,0.0,175.0,61.08403205871582
87,PCMCI,100.0,,4392.404079437256
87,DYNOTEARS,,,
87,VAR-LiNGAM,20.0,,0.0
87,Granger,153.0,,682.2657585144043
88,CausalNerve,0.0,210.0,76.54905319213867
88,PCMCI,120.0,,3850.106716156006
88,DYNOTEARS,,,
88,VAR-LiNGAM,20.0,,3.9920806884765625
88,Granger,163.0,,792.7858829498291
89,CausalNerve,0.0,214.0,80.84583282470703
89,PCMCI,102.0,,5463.073015213013
89,DYNOTEARS,,,
89,VAR-LiNGAM,20.0,,0.0
89,Granger,171.0,,796.7479228973389
90,CausalNerve,0.0,151.0,53.75528335571289
90,PCMCI,116.0,,4615.192651748657
90,DYNOTEARS,,,
90,VAR-LiNGAM,20.0,,3.123760223388672
90,Granger,159.0,,764.4600868225098
91,CausalNerve,0.0,132.0,44.75545883178711
91,PCMCI,101.0,,3844.493865966797
91,DYNOTEARS,,,
91,VAR-LiNGAM,20.0,,0.0
91,Granger,147.0,,664.7217273712158
92,CausalNerve,0.0,338.0,120.01538276672363
92,PCMCI,103.0,,4361.771583557129
92,DYNOTEARS,,,
92,VAR-LiNGAM,20.0,,1.4965534210205078
92,Granger,168.0,,878.8535594940186
93,CausalNerve,0.0,152.0,49.40509796142578
93,PCMCI,93.0,,4349.349021911621
93,DYNOTEARS,,,
93,VAR-LiNGAM,20.0,,7.619380950927734
93,Granger,150.0,,765.4211521148682
94,CausalNerve,0.0,255.0,87.2499942779541
94,PCMCI,99.0,,3399.6763229370117
94,DYNOTEARS,,,
94,VAR-LiNGAM,20.0,,0.0
94,Granger,139.0,,725.7320880889893
95,CausalNerve,0.0,280.0,100.4183292388916
95,PCMCI,110.0,,5777.0020961761475
95,DYNOTEARS,,,
95,VAR-LiNGAM,20.0,,0.0
95,Granger,185.0,,837.9261493682861
96,CausalNerve,0.0,333.0,115.44680595397949
96,PCMCI,96.0,,6005.880117416382
96,DYNOTEARS,,,
96,VAR-LiNGAM,20.0,,0.0
96,Granger,183.0,,850.2483367919922
97,CausalNerve,0.0,199.0,153.08284759521484
97,PCMCI,128.0,,3640.9919261932373
97,DYNOTEARS,,,
97,VAR-LiNGAM,20.0,,0.0
97,Granger,152.0,,793.093204498291
98,CausalNerve,0.0,153.0,54.81433868408203
98,PCMCI,111.0,,4420.318365097046
98,DYNOTEARS,,,
98,VAR-LiNGAM,20.0,,1.2574195861816406
98,Granger,155.0,,761.5079879760742
99,CausalNerve,0.0,182.0,66.89453125
99,PCMCI,114.0,,4245.569705963135
99,DYNOTEARS,,,
99,VAR-LiNGAM,20.0,,2.104043960571289
99,Granger,141.0,,776.7665386199951
100,CausalNerve,0.0,197.0,73.26507568359375
100,PCMCI,105.0,,4624.7594356536865
100,DYNOTEARS,,,
100,VAR-LiNGAM,20.0,,0.0
100,Granger,144.0,,785.9034538269043
