Cycle,Latency_ms
0,237.6131
1,16.2973
2,16.5789
3,16.0085
4,17.4828
5,15.9342
6,18.6954
7,16.8156
8,17.5584
9,17.6685
10,17.5865
11,20.5487
12,18.0057
13,15.8594
14,16.0492
15,15.6335
16,17.9741
17,16.9251
18,16.2488
19,16.6754
20,16.8991
21,22.0633
22,20.3698
23,15.4379
24,17.6088
25,16.4768
26,19.6766
27,16.3690
28,16.4893
29,16.2298
30,16.6726
31,16.6741
32,20.8668
33,16.4675
34,18.5351
35,18.0055
36,16.9396
37,21.4383
38,17.0089
39,15.9169
40,15.9928
41,17.0763
42,17.0810
43,16.7334
44,20.8705
45,17.9801
46,16.7568
47,18.4197
48,17.9530
49,17.3388
50,16.2537
51,17.4734
52,16.9910
53,17.2848
54,18.2253
55,16.7019
56,16.3356
57,17.5225
58,20.3258
59,17.5806
60,17.4542
61,16.7681
62,19.5333
63,16.8325
64,16.3731
65,16.8159
66,17.2305
67,16.8325
68,17.4081
69,16.9138
70,16.1156
71,18.0830
72,17.8177
73,17.4250
74,16.8515
75,16.4633
76,16.3771
77,18.1800
78,17.5135
79,17.5304
80,16.5185
81,20.9243
82,15.8735
83,20.0168
84,16.2255
85,16.1466
86,19.5697
87,17.7497
88,17.3086
89,17.8995
90,21.7772
91,17.8522
92,16.0760
93,15.6086
94,17.2790
95,18.1875
96,16.9724
97,16.8134
98,17.1063
99,16.3099
100,20.9808
101,17.4471
102,17.2680
103,16.1203
104,16.5200
105,16.7379
106,17.9485
107,20.1654
108,19.1846
109,17.2048
110,15.6980
111,16.8134
112,16.0507
113,18.8650
114,16.8366
115,17.1203
116,17.0499
117,20.2328
118,18.3862
119,16.4847
120,21.4771
121,20.5422
122,17.2600
123,16.2525
124,17.1605
125,17.4388
126,17.0782
127,16.7611
128,16.5200
129,16.7946
130,17.5583
131,17.6171
132,20.7442
133,16.0164
134,17.1278
135,20.6926
136,21.0587
137,17.7180
138,17.5519
139,16.8764
140,16.3550
141,16.6457
142,17.2919
143,17.2996
144,16.4003
145,17.4790
146,18.0723
147,18.0665
148,17.4420
149,18.1560
150,17.7345
151,19.8907
152,16.6540
153,17.3635
154,18.1096
155,18.5669
156,17.4716
157,16.9613
158,17.7123
159,17.9527
160,17.5397
161,16.3593
162,17.3501
163,16.4465
164,16.6089
165,16.8784
166,24.4689
167,16.8642
168,15.9983
169,17.3513
170,17.8644
171,17.6805
172,17.2594
173,17.4759
174,19.8616
175,16.5793
176,16.8322
177,16.5674
178,17.7908
179,17.4846
180,16.6646
181,16.6878
182,16.3142
183,16.8949
184,17.2439
185,18.1206
186,18.2007
187,16.8002
188,17.4747
189,19.3390
190,17.6237
191,17.5536
192,16.2203
193,19.5700
194,16.9982
195,20.6300
196,20.6956
197,16.3671
198,17.0713
199,16.2821
200,16.3764
201,18.3662
202,20.7517
203,16.5991
204,16.9023
205,17.9527
206,20.4305
207,17.6370
208,17.2385
209,16.0521
210,16.7593
211,17.9277
212,17.2026
213,17.1095
214,18.5047
215,17.1170
216,17.0418
217,17.4367
218,17.2220
219,17.6228
220,17.6340
221,17.3758
222,16.3647
223,17.9512
